daylight_start,daylight_end
2017-01-01 07:30:00,2017-01-01 17:02:00
2017-01-02 07:30:00,2017-01-02 17:03:00
2017-01-03 07:30:00,2017-01-03 17:04:00
2017-01-04 07:30:00,2017-01-04 17:05:00
2017-01-05 07:30:00,2017-01-05 17:06:00
2017-01-06 07:30:00,2017-01-06 17:07:00
2017-01-07 07:30:00,2017-01-07 17:08:00
2017-01-08 07:29:00,2017-01-08 17:09:00
2017-01-09 07:29:00,2017-01-09 17:11:00
2017-01-10 07:29:00,2017-01-10 17:12:00
2017-01-11 07:28:00,2017-01-11 17:13:00
2017-01-12 07:28:00,2017-01-12 17:14:00
2017-01-13 07:27:00,2017-01-13 17:16:00
2017-01-14 07:27:00,2017-01-14 17:17:00
2017-01-15 07:26:00,2017-01-15 17:18:00
2017-01-16 07:25:00,2017-01-16 17:20:00
2017-01-17 07:25:00,2017-01-17 17:21:00
2017-01-18 07:24:00,2017-01-18 17:22:00
2017-01-19 07:23:00,2017-01-19 17:24:00
2017-01-20 07:22:00,2017-01-20 17:25:00
2017-01-21 07:22:00,2017-01-21 17:27:00
2017-01-22 07:21:00,2017-01-22 17:28:00
2017-01-23 07:20:00,2017-01-23 17:29:00
2017-01-24 07:19:00,2017-01-24 17:31:00
2017-01-25 07:18:00,2017-01-25 17:32:00
2017-01-26 07:17:00,2017-01-26 17:34:00
2017-01-27 07:16:00,2017-01-27 17:35:00
2017-01-28 07:14:00,2017-01-28 17:37:00
2017-01-29 07:13:00,2017-01-29 17:39:00
2017-01-30 07:12:00,2017-01-30 17:40:00
2017-01-31 07:11:00,2017-01-31 17:42:00
2017-02-01 07:10:00,2017-02-01 17:43:00
2017-02-02 07:08:00,2017-02-02 17:45:00
2017-02-03 07:07:00,2017-02-03 17:46:00
2017-02-04 07:06:00,2017-02-04 17:48:00
2017-02-05 07:04:00,2017-02-05 17:49:00
2017-02-06 07:03:00,2017-02-06 17:51:00
2017-02-07 07:01:00,2017-02-07 17:53:00
2017-02-08 07:00:00,2017-02-08 17:54:00
2017-02-09 06:58:00,2017-02-09 17:56:00
2017-02-10 06:57:00,2017-02-10 17:57:00
2017-02-11 06:55:00,2017-02-11 17:59:00
2017-02-12 06:54:00,2017-02-12 18:01:00
2017-02-13 06:52:00,2017-02-13 18:02:00
2017-02-14 06:50:00,2017-02-14 18:04:00
2017-02-15 06:49:00,2017-02-15 18:05:00
2017-02-16 06:47:00,2017-02-16 18:07:00
2017-02-17 06:45:00,2017-02-17 18:08:00
2017-02-18 06:43:00,2017-02-18 18:10:00
2017-02-19 06:42:00,2017-02-19 18:12:00
2017-02-20 06:40:00,2017-02-20 18:13:00
2017-02-21 06:38:00,2017-02-21 18:15:00
2017-02-22 06:36:00,2017-02-22 18:16:00
2017-02-23 06:34:00,2017-02-23 18:18:00
2017-02-24 06:33:00,2017-02-24 18:20:00
2017-02-25 06:31:00,2017-02-25 18:21:00
2017-02-26 06:29:00,2017-02-26 18:23:00
2017-02-27 06:27:00,2017-02-27 18:24:00
2017-02-28 06:25:00,2017-02-28 18:26:00
2017-03-01 06:23:00,2017-03-01 18:27:00
2017-03-02 06:21:00,2017-03-02 18:29:00
2017-03-03 06:19:00,2017-03-03 18:31:00
2017-03-04 06:17:00,2017-03-04 18:32:00
2017-03-05 06:15:00,2017-03-05 18:34:00
2017-03-06 06:13:00,2017-03-06 18:35:00
2017-03-07 06:11:00,2017-03-07 18:37:00
2017-03-08 06:09:00,2017-03-08 18:38:00
2017-03-09 06:07:00,2017-03-09 18:40:00
2017-03-10 06:05:00,2017-03-10 18:42:00
2017-03-11 06:03:00,2017-03-11 18:43:00
2017-03-12 06:01:00,2017-03-12 18:45:00
2017-03-13 05:59:00,2017-03-13 18:46:00
2017-03-14 05:56:00,2017-03-14 18:48:00
2017-03-15 05:54:00,2017-03-15 18:49:00
2017-03-16 05:52:00,2017-03-16 18:51:00
2017-03-17 05:50:00,2017-03-17 18:52:00
2017-03-18 05:48:00,2017-03-18 18:54:00
2017-03-19 05:46:00,2017-03-19 18:56:00
2017-03-20 05:44:00,2017-03-20 18:57:00
2017-03-21 05:42:00,2017-03-21 18:59:00
2017-03-22 05:39:00,2017-03-22 19:00:00
2017-03-23 05:37:00,2017-03-23 19:02:00
2017-03-24 05:35:00,2017-03-24 19:03:00
2017-03-25 05:33:00,2017-03-25 19:05:00
2017-03-26 05:31:00,2017-03-26 19:07:00
2017-03-27 05:29:00,2017-03-27 19:08:00
2017-03-28 05:26:00,2017-03-28 19:10:00
2017-03-29 05:24:00,2017-03-29 19:11:00
2017-03-30 05:22:00,2017-03-30 19:13:00
2017-03-31 05:20:00,2017-03-31 19:15:00
2017-04-01 05:18:00,2017-04-01 19:16:00
2017-04-02 05:15:00,2017-04-02 19:18:00
2017-04-03 05:13:00,2017-04-03 19:19:00
2017-04-04 05:11:00,2017-04-04 19:21:00
2017-04-05 05:09:00,2017-04-05 19:22:00
2017-04-06 05:07:00,2017-04-06 19:24:00
2017-04-07 05:05:00,2017-04-07 19:26:00
2017-04-08 05:02:00,2017-04-08 19:27:00
2017-04-09 05:00:00,2017-04-09 19:29:00
2017-04-10 04:58:00,2017-04-10 19:31:00
2017-04-11 04:56:00,2017-04-11 19:32:00
2017-04-12 04:54:00,2017-04-12 19:34:00
2017-04-13 04:52:00,2017-04-13 19:35:00
2017-04-14 04:50:00,2017-04-14 19:37:00
2017-04-15 04:48:00,2017-04-15 19:39:00
2017-04-16 04:45:00,2017-04-16 19:40:00
2017-04-17 04:43:00,2017-04-17 19:42:00
2017-04-18 04:41:00,2017-04-18 19:44:00
2017-04-19 04:39:00,2017-04-19 19:45:00
2017-04-20 04:37:00,2017-04-20 19:47:00
2017-04-21 04:35:00,2017-04-21 19:49:00
2017-04-22 04:33:00,2017-04-22 19:50:00
2017-04-23 04:31:00,2017-04-23 19:52:00
2017-04-24 04:29:00,2017-04-24 19:54:00
2017-04-25 04:27:00,2017-04-25 19:55:00
2017-04-26 04:25:00,2017-04-26 19:57:00
2017-04-27 04:23:00,2017-04-27 19:59:00
2017-04-28 04:21:00,2017-04-28 20:00:00
2017-04-29 04:19:00,2017-04-29 20:02:00
2017-04-30 04:17:00,2017-04-30 20:03:00
2017-05-01 04:15:00,2017-05-01 20:05:00
2017-05-02 04:13:00,2017-05-02 20:07:00
2017-05-03 04:12:00,2017-05-03 20:08:00
2017-05-04 04:10:00,2017-05-04 20:10:00
2017-05-05 04:08:00,2017-05-05 20:12:00
2017-05-06 04:06:00,2017-05-06 20:13:00
2017-05-07 04:04:00,2017-05-07 20:15:00
2017-05-08 04:03:00,2017-05-08 20:17:00
2017-05-09 04:01:00,2017-05-09 20:18:00
2017-05-10 03:59:00,2017-05-10 20:20:00
2017-05-11 03:57:00,2017-05-11 20:21:00
2017-05-12 03:56:00,2017-05-12 20:23:00
2017-05-13 03:54:00,2017-05-13 20:25:00
2017-05-14 03:53:00,2017-05-14 20:26:00
2017-05-15 03:51:00,2017-05-15 20:28:00
2017-05-16 03:50:00,2017-05-16 20:29:00
2017-05-17 03:48:00,2017-05-17 20:31:00
2017-05-18 03:47:00,2017-05-18 20:32:00
2017-05-19 03:45:00,2017-05-19 20:34:00
2017-05-20 03:44:00,2017-05-20 20:35:00
