Date,Nautical,Civil,Rise,Noon,Set,Civil Nautical,Day,Sky Total,hh:mm:ss
Jan  1,6:50,7:30,8:08,12:16,16:25,17:02  17:43,8.28,1.24  9.53,6:30:16
Jan  2,6:50,7:30,8:08,12:17,16:26,17:03  17:44,8.3,1.24  9.54,6:34:13
Jan  3,6:50,7:30,8:07,12:17,16:27,17:04  17:44,8.32,1.24  9.56,6:38:10
Jan  4,6:50,7:30,8:07,12:17,16:28,17:05  17:45,8.34,1.24  9.58,6:42:06
Jan  5,6:50,7:30,8:07,12:18,16:29,17:06  17:46,8.36,1.24  9.60,6:46:03
Jan  6,6:50,7:30,8:07,12:18,16:30,17:07  17:47,8.39,1.23  9.62,6:49:59
Jan  7,6:49,7:30,8:07,12:19,16:31,17:08  17:49,8.41,1.23  9.64,6:53:56
Jan  8,6:49,7:29,8:06,12:19,16:33,17:09  17:50,8.44,1.23  9.67,6:57:52
Jan  9,6:49,7:29,8:06,12:20,16:34,17:11  17:51,8.47,1.22  9.69,7:01:49
Jan 10,6:49,7:29,8:05,12:20,16:35,17:12  17:52,8.5,1.22  9.72,7:05:45
Jan 11,6:48,7:28,8:05,12:20,16:36,17:13  17:53,8.53,1.22  9.75,7:09:42
Jan 12,6:48,7:28,8:04,12:21,16:38,17:14  17:54,8.56,1.21  9.78,7:13:39
Jan 13,6:47,7:27,8:04,12:21,16:39,17:16  17:55,8.6,1.21  9.81,7:17:35
Jan 14,6:47,7:27,8:03,12:22,16:41,17:17  17:57,8.63,1.21  9.84,7:21:32
Jan 15,6:46,7:26,8:02,12:22,16:42,17:18  17:58,8.67,1.20  9.87,7:25:28
Jan 16,6:46,7:25,8:01,12:22,16:44,17:20  17:59,8.7,1.20  9.90,7:29:25
Jan 17,6:45,7:25,8:01,12:23,16:45,17:21  18:00,8.74,1.20  9.94,7:33:21
Jan 18,6:45,7:24,8:00,12:23,16:46,17:22  18:02,8.78,1.19  9.97,7:37:18
Jan 19,6:44,7:23,7:59,12:23,16:48,17:24  18:03,8.82,1.19 10.01,7:41:14
Jan 20,6:43,7:22,7:58,12:24,16:50,17:25  18:04,8.86,1.19 10.05,7:45:11
Jan 21,6:42,7:22,7:57,12:24,16:51,17:27  18:06,8.9,1.18 10.08,7:49:08
Jan 22,6:42,7:21,7:56,12:24,16:53,17:28  18:07,8.95,1.18 10.12,7:53:04
Jan 23,6:41,7:20,7:55,12:24,16:54,17:29  18:08,8.99,1.17 10.16,7:57:01
Jan 24,6:40,7:19,7:54,12:25,16:56,17:31  18:10,9.03,1.17 10.20,8:00:57
Jan 25,6:39,7:18,7:53,12:25,16:57,17:32  18:11,9.08,1.17 10.25,8:04:54
Jan 26,6:38,7:17,7:52,12:25,16:59,17:34  18:13,9.13,1.16 10.29,8:08:50
Jan 27,6:37,7:16,7:50,12:25,17:01,17:35  18:14,9.17,1.16 10.33,8:12:47
Jan 28,6:36,7:14,7:49,12:25,17:02,17:37  18:16,9.22,1.16 10.38,8:16:43
Jan 29,6:35,7:13,7:48,12:26,17:04,17:39  18:17,9.27,1.15 10.42,8:20:40
Jan 30,6:34,7:12,7:46,12:26,17:06,17:40  18:18,9.32,1.15 10.47,8:24:37
Jan 31,6:33,7:11,7:45,12:26,17:07,17:42  18:20,9.37,1.14 10.51,8:28:33
Feb  1,6:31,7:10,7:44,12:26,17:09,17:43  18:21,9.42,1.14 10.56,8:32:30
Feb  2,6:30,7:08,7:42,12:26,17:11,17:45  18:23,9.47,1.14 10.61,8:36:26
Feb  3,6:29,7:07,7:41,12:26,17:12,17:46  18:24,9.52,1.13 10.66,8:40:23
Feb  4,6:28,7:06,7:39,12:26,17:14,17:48  18:26,9.58,1.13 10.71,8:44:19
Feb  5,6:26,7:04,7:38,12:26,17:16,17:49  18:27,9.63,1.13 10.75,8:48:16
Feb  6,6:25,7:03,7:36,12:27,17:17,17:51  18:29,9.68,1.12 10.80,8:52:12
